"","Marital_Status","Income","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","ttlspend","ttlnum","age","child","familymember","Education_Master","Education_PhD","Education_undergraduate"
"70",1,40246,3470,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,3,25,1,2,0,0,0
"71",2,75251,3584,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,18,30,0,2,1,0,0
"72",1,75825,3538,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2209,22,26,0,1,0,0,0
"73",2,26326,3211,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,3,26,0,2,0,0,1
"74",2,56046,3456,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,19,37,0,2,0,0,0
"75",1,29760,3582,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,8,17,1,2,0,0,0
"76",2,26304,3284,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,3,33,1,3,0,0,0
"77",2,23559,3274,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,6,29,1,3,0,0,1
"78",2,38620,3327,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,10,39,0,2,1,0,0
"79",1,81361,3037,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,26,15,0,1,0,0,0
"80",2,29440,3235,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,5,42,2,4,0,0,0
"81",2,36138,3261,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,8,32,2,4,1,0,0
"82",1,50388,2945,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,13,45,1,2,0,0,0
"83",2,79593,2961,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,18,29,0,2,0,0,0
"84",2,54178,3072,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,9,35,1,3,0,0,0
"85",1,42394,3011,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,4,30,1,2,1,0,0
"86",2,23626,2949,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,7,32,1,3,0,1,0
"87",2,30096,2951,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,5,19,1,3,0,0,0
"88",1,47916,3497,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,17,42,1,2,0,0,0
"89",1,51813,3357,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,5,30,2,3,0,0,0
"90",2,78497,3123,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,24,51,0,2,0,0,1
"91",2,50150,3287,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,14,19,0,2,0,1,0
"92",1,47823,3254,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,5,42,1,2,0,0,1
"93",1,34554,3004,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,5,43,1,2,0,1,0
"94",2,85693,3348,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,25,23,1,3,0,0,0
"95",2,65846,3321,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,15,57,0,2,0,1,0
"96",2,87195,2965,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,19,43,0,2,0,0,0
"97",2,24594,3114,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,4,23,1,3,0,0,1
"98",2,49096,3191,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,9,38,2,4,0,0,0
"99",2,52413,3425,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,22,33,2,4,0,0,0
"100",1,38557,3470,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,7,24,1,2,0,0,0
"101",2,89058,3482,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,13,42,0,2,1,0,0
"102",2,77298,3152,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,23,23,1,3,0,0,0
"103",1,68126,3509,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,16,11,0,1,0,1,0
"104",2,57288,2917,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,17,39,1,3,1,0,0
"105",1,86037,3456,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,24,11,0,1,0,0,0
"106",2,43974,3477,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,16,22,1,3,0,1,0
"107",1,50785,3205,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,6,40,2,3,0,0,0
"108",2,90765,3069,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,15,32,0,2,0,0,0
"109",2,36550,3408,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,15,24,1,3,0,0,1
"110",2,30753,3266,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,5,35,2,4,0,0,1
"111",2,21918,3140,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,5,33,1,3,0,0,0
"112",2,56129,3287,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,18,49,1,3,1,0,0
"113",1,32557,3038,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,6,35,1,2,1,0,0
"114",2,19510,3211,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,4,17,2,4,1,0,0
"115",1,30992,3346,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,4,26,1,2,0,0,0
"116",1,101970,3387,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,27,19,0,1,0,0,0
"117",2,71488,3409,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,14,37,0,2,0,0,1
"118",1,79607,3347,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,15,18,0,1,0,0,0
"119",2,54348,2934,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,6,49,2,4,1,0,0
"120",2,77376,2963,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,19,46,2,4,0,1,0
"121",2,62998,3185,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,14,50,1,3,0,0,0
"122",1,61331,3389,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,18,44,2,3,1,0,0
"123",2,73448,3052,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,18,33,0,2,0,0,0
"124",2,41551,3232,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,11,38,2,4,0,1,0
"125",2,62981,3382,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1482,22,35,0,2,0,1,0
"126",1,9548,3603,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,4,26,1,2,0,0,1
"127",2,33762,3270,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,6,43,3,5,0,1,0
"128",1,35860,2954,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,4,29,2,3,0,1,0
"129",1,36921,3249,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,5,37,2,3,0,1,0
"130",1,92859,3531,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2077,21,10,0,1,1,0,0
"131",2,65104,3140,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,15,26,1,3,1,0,0
"132",2,86111,3349,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,22,40,0,2,0,0,0
"133",1,68352,3218,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,871,22,28,1,2,0,1,0
"134",2,41883,3380,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,312,9,14,1,3,0,0,0
"135",2,59809,3532,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,12,26,2,4,0,0,0
"136",2,23957,3522,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,68,5,27,1,3,0,0,0
"137",2,38547,3218,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,22,3,21,1,3,0,0,0
"138",2,35688,3589,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,211,9,29,3,5,0,0,1
"139",2,49605,2921,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,127,7,36,0,2,1,0,0
"140",2,59354,2979,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,15,49,2,4,1,0,0
"141",2,65747,3027,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,460,15,33,1,3,0,0,0
"142",2,46344,3475,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,429,13,30,1,3,0,0,1
"143",1,34176,2961,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,89,7,14,1,2,0,0,0
"144",2,61010,3541,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,24,50,1,3,0,1,0
"145",2,69372,3408,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,1381,20,53,0,2,0,0,0
"146",1,49967,3269,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,306,12,44,1,2,0,0,0
"147",1,60199,3203,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,18,3,24,3,4,0,0,0
"148",2,55375,3168,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,162,8,25,1,3,0,0,0
"149",1,80317,3226,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1231,17,47,0,1,0,0,0
"150",1,30523,3276,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,13,3,44,3,4,1,0,0
"151",2,70356,3514,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,1706,25,57,0,2,0,1,0
"152",2,23228,3088,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,121,7,18,1,3,0,0,0
"153",1,74165,3337,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,1293,19,27,0,1,0,1,0
"155",2,43482,3141,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,88,6,36,3,5,0,0,0
"156",1,62551,3136,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,421,17,49,0,1,0,0,0
"157",1,52332,3218,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,259,11,43,0,1,0,0,0
"158",1,66951,3152,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,1117,14,14,0,1,0,0,0
"159",2,26091,3037,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,89,6,45,2,4,0,0,0
"160",2,33456,2982,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,36,4,37,2,4,0,0,0
"161",2,28718,3264,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,57,5,20,1,3,0,0,0
"162",2,50447,2982,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,148,7,32,2,4,0,0,0
"163",2,53537,3063,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,93,6,43,2,4,0,1,0
"164",1,52074,2999,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,119,6,35,1,2,0,0,0
"165",2,80427,3568,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1835,27,27,1,3,0,1,0
"166",2,83837,3473,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,1318,24,54,0,2,0,1,0
"167",2,38853,2950,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,45,5,32,2,4,0,1,0
"168",2,38285,2918,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,10,3,43,3,5,0,0,0
"169",2,78497,3123,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,24,51,0,2,0,0,1
"170",2,51650,2962,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,191,9,26,1,3,0,1,0
"171",2,16248,2963,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,57,6,14,1,3,0,0,1
"172",2,66835,3187,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,1033,23,56,0,2,1,0,0
"173",2,30477,3071,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,66,5,18,1,3,1,0,0
"174",2,28249,2927,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,43,5,41,0,2,0,0,1
"175",2,25271,3484,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,50,4,19,1,3,0,0,0
"176",1,32303,3026,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,39,5,32,1,2,0,1,0
"177",2,61286,3244,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,608,16,36,1,3,0,0,0
"178",2,74068,3380,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,1581,23,26,0,2,0,0,0
"179",2,45759,3404,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,68,5,38,2,4,0,1,0
"180",2,24882,3571,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,80,4,24,1,3,0,0,1
"181",2,66973,3321,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,1282,27,13,0,2,0,1,0
"183",2,38872,3308,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,91,6,14,1,3,0,0,0
"184",2,51148,3409,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,315,12,29,2,4,0,0,0
"185",2,31353,3095,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,31,4,25,2,4,0,0,0
"186",2,69661,2960,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,834,22,22,0,2,1,0,0
"187",2,80067,3196,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,1600,16,48,0,2,0,0,0
"188",2,86718,3441,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,1270,16,48,0,2,0,0,0
"189",1,46854,3003,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,263,9,29,2,3,0,1,0
"190",1,69142,2913,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,535,16,50,1,2,0,0,0
"191",1,75922,3115,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,1295,17,34,0,1,0,0,0
"192",1,63693,3171,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,1150,26,24,1,2,0,0,0
"193",2,102160,3517,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,1240,26,25,0,2,0,1,0
"194",1,40637,3260,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,38,4,37,2,3,0,1,0
"195",1,18890,3509,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,35,3,18,0,1,1,0,0
"196",2,29604,3116,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,53,4,14,1,3,0,0,0
"197",1,48721,3325,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,293,11,39,2,3,1,0,0
"198",2,44794,2934,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,65,5,36,1,3,0,0,0
"199",1,64497,3570,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,1804,24,48,1,2,0,0,0
"200",2,46097,3368,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,241,10,46,1,3,0,0,0
"201",2,77972,3016,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,1101,19,48,0,2,0,0,0
"202",2,44377,3545,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,264,11,34,2,4,0,1,0
"203",2,46014,3437,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,541,16,28,2,4,1,0,0
"204",2,70951,3334,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,1198,16,17,0,2,0,0,0
"205",2,41443,3002,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,482,14,25,1,3,0,0,0
"206",1,52195,2961,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,17,3,24,3,4,0,0,1
"207",2,83790,3139,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,1615,24,54,0,2,1,0,0
"208",1,44551,3215,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,285,10,48,1,2,1,0,0
"209",2,69508,3505,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,1135,26,22,1,3,0,0,0
"210",2,45204,2992,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,114,6,14,1,3,0,0,1
